2024-01-12 21:48:37,170 - INFO - [Restart 0] 8) Best value: -9.24e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:37,801 - INFO - [Restart 0] 12) Best value: -7.54e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:38,260 - INFO - [Restart 0] 16) Best value: -7.54e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:38,842 - INFO - [Restart 0] 20) Best value: -7.54e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:39,471 - INFO - [Restart 0] 24) Best value: -7.54e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:39,894 - INFO - [Restart 0] 28) Best value: -6.30e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:40,387 - INFO - [Restart 0] 32) Best value: -6.30e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:40,711 - INFO - [Restart 0] 36) Best value: -5.67e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:41,580 - INFO - [Restart 0] 40) Best value: -5.67e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:42,122 - INFO - [Restart 0] 44) Best value: -5.39e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:48:42,798 - INFO - [Restart 0] 48) Best value: -5.38e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 4/10
2024-01-12 21:48:43,267 - INFO - [Restart 0] 52) Best value: -5.38e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 5/10
2024-01-12 21:48:43,924 - INFO - [Restart 0] 56) Best value: -5.38e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 6/10
2024-01-12 21:48:44,634 - INFO - [Restart 0] 60) Best value: -5.38e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:45,154 - INFO - [Restart 0] 64) Best value: -5.38e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:45,727 - INFO - [Restart 0] 68) Best value: -5.38e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:46,292 - INFO - [Restart 0] 72) Best value: -5.38e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:46,924 - INFO - [Restart 0] 76) Best value: -5.38e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:47,352 - INFO - [Restart 0] 80) Best value: -5.38e+00 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:47,725 - INFO - [Restart 1] 88) Best value: -1.62e+01 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:48,353 - INFO - [Restart 1] 92) Best value: -7.15e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:48,771 - INFO - [Restart 1] 96) Best value: -7.15e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:49,321 - INFO - [Restart 1] 100) Best value: -7.15e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:49,758 - INFO - [Restart 1] 104) Best value: -7.15e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:50,349 - INFO - [Restart 1] 108) Best value: -6.89e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:51,288 - INFO - [Restart 1] 112) Best value: -6.89e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:52,175 - INFO - [Restart 1] 116) Best value: -6.88e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:53,056 - INFO - [Restart 1] 120) Best value: -6.88e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:53,557 - INFO - [Restart 1] 124) Best value: -6.88e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:54,326 - INFO - [Restart 1] 128) Best value: -6.88e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:55,177 - INFO - [Restart 1] 132) Best value: -6.88e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:55,889 - INFO - [Restart 1] 136) Best value: -6.88e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:56,857 - INFO - [Restart 1] 140) Best value: -6.88e+00 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:48:57,432 - INFO - [Restart 2] 148) Best value: -1.44e+01 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:48:57,896 - INFO - [Restart 2] 152) Best value: -6.78e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:48:58,287 - INFO - [Restart 2] 156) Best value: -4.11e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:48:59,234 - INFO - [Restart 2] 160) Best value: -4.11e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:00,010 - INFO - [Restart 2] 164) Best value: -4.11e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:00,416 - INFO - [Restart 2] 168) Best value: -4.11e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:01,073 - INFO - [Restart 2] 172) Best value: -4.11e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:01,582 - INFO - [Restart 2] 176) Best value: -4.11e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:01,971 - INFO - [Restart 2] 180) Best value: -3.64e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:02,698 - INFO - [Restart 2] 184) Best value: -3.57e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:03,442 - INFO - [Restart 2] 188) Best value: -3.57e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:04,034 - INFO - [Restart 2] 192) Best value: -3.57e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:04,888 - INFO - [Restart 2] 196) Best value: -3.57e+00 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:05,310 - INFO - [Restart 3] 204) Best value: -6.48e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:05,836 - INFO - [Restart 3] 208) Best value: -6.48e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:06,109 - INFO - [Restart 3] 212) Best value: -5.66e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:06,391 - INFO - [Restart 3] 216) Best value: -5.62e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:06,982 - INFO - [Restart 3] 220) Best value: -5.02e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:07,496 - INFO - [Restart 3] 224) Best value: -5.02e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:08,213 - INFO - [Restart 3] 228) Best value: -3.52e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:08,822 - INFO - [Restart 3] 232) Best value: -3.41e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:09,528 - INFO - [Restart 3] 236) Best value: -3.15e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:09,991 - INFO - [Restart 3] 240) Best value: -3.15e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:11,060 - INFO - [Restart 3] 244) Best value: -2.61e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:11,626 - INFO - [Restart 3] 248) Best value: -2.59e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:11,898 - INFO - [Restart 3] 252) Best value: -2.59e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:12,168 - INFO - [Restart 3] 256) Best value: -2.58e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:12,406 - INFO - [Restart 3] 260) Best value: -2.58e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:12,663 - INFO - [Restart 3] 264) Best value: -2.58e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:13,033 - INFO - [Restart 3] 268) Best value: -2.58e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:13,408 - INFO - [Restart 3] 272) Best value: -2.58e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:13,617 - INFO - [Restart 3] 276) Best value: -2.58e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:14,083 - INFO - [Restart 3] 280) Best value: -2.58e+00 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:14,262 - INFO - [Restart 4] 288) Best value: -4.34e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:14,473 - INFO - [Restart 4] 292) Best value: -4.34e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:14,641 - INFO - [Restart 4] 296) Best value: -4.34e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:14,793 - INFO - [Restart 4] 300) Best value: -4.34e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:14,963 - INFO - [Restart 4] 304) Best value: -4.34e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:15,170 - INFO - [Restart 4] 308) Best value: -3.67e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:15,352 - INFO - [Restart 4] 312) Best value: -3.61e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:15,581 - INFO - [Restart 4] 316) Best value: -3.58e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:15,783 - INFO - [Restart 4] 320) Best value: -3.58e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:16,004 - INFO - [Restart 4] 324) Best value: -3.58e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:16,259 - INFO - [Restart 4] 328) Best value: -3.57e+00 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:16,487 - INFO - [Restart 4] 332) Best value: -3.57e+00 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:16,738 - INFO - [Restart 4] 336) Best value: -3.57e+00 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:16,919 - INFO - [Restart 5] 344) Best value: -1.13e+01 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:17,060 - INFO - [Restart 5] 348) Best value: -5.46e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:17,295 - INFO - [Restart 5] 352) Best value: -5.46e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:17,493 - INFO - [Restart 5] 356) Best value: -3.98e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:17,688 - INFO - [Restart 5] 360) Best value: -4.23e-01 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:17,868 - INFO - [Restart 5] 364) Best value: -1.13e-01 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:18,033 - INFO - [Restart 5] 368) Best value: -8.19e-03 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 4/10
2024-01-12 21:49:18,233 - INFO - [Restart 5] 372) Best value: -8.19e-03 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:18,411 - INFO - [Restart 5] 376) Best value: -8.19e-03 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:18,569 - INFO - [Restart 5] 380) Best value: -8.19e-03 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:18,758 - INFO - [Restart 5] 384) Best value: -8.19e-03 | TR length: 2.50e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:18,937 - INFO - [Restart 5] 388) Best value: -8.19e-03 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:19,092 - INFO - [Restart 5] 392) Best value: -4.99e-03 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:19,282 - INFO - [Restart 5] 396) Best value: -4.06e-03 | TR length: 1.25e-02 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:19,441 - INFO - [Restart 5] 400) Best value: -4.06e-03 | TR length: 6.25e-03 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:19,631 - INFO - [Restart 6] 408) Best value: -1.63e+01 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:19,808 - INFO - [Restart 6] 412) Best value: -9.75e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 2/10
2024-01-12 21:49:19,984 - INFO - [Restart 6] 416) Best value: -5.25e+00 | TR length: 8.00e-01 | num. restarts: 0/1 | num. successes: 3/10
2024-01-12 21:49:20,183 - INFO - [Restart 6] 420) Best value: -5.25e+00 | TR length: 4.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:20,423 - INFO - [Restart 6] 424) Best value: -5.25e+00 | TR length: 2.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:20,610 - INFO - [Restart 6] 428) Best value: -5.25e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 0/10
2024-01-12 21:49:20,853 - INFO - [Restart 6] 432) Best value: -4.89e+00 | TR length: 1.00e-01 | num. restarts: 0/1 | num. successes: 1/10
2024-01-12 21:49:21,071 - INFO - [Restart 6] 436) Best value: -4.89e+00 | TR length: 5.00e-02 | num. restarts: 0/1 | num. successes: 0/10
