2024-01-12 20:34:24,714 - INFO - [Restart 0] 104) Best value: -3.33e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 1/10
2024-01-12 20:34:25,368 - INFO - [Restart 0] 108) Best value: -3.23e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 2/10
2024-01-12 20:34:26,265 - INFO - [Restart 0] 112) Best value: -3.04e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 3/10
2024-01-12 20:34:27,311 - INFO - [Restart 0] 116) Best value: -2.92e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 4/10
2024-01-12 20:34:27,985 - INFO - [Restart 0] 120) Best value: -2.79e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 5/10
2024-01-12 20:34:29,008 - INFO - [Restart 0] 124) Best value: -2.72e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 6/10
2024-01-12 20:34:30,037 - INFO - [Restart 0] 128) Best value: -2.48e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 7/10
2024-01-12 20:34:31,230 - INFO - [Restart 0] 132) Best value: -2.31e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 8/10
2024-01-12 20:34:32,157 - INFO - [Restart 0] 136) Best value: -2.22e+00 | TR length: 8.00e-01 | num. restarts: 0/13 | num. successes: 9/10
2024-01-12 20:34:33,247 - INFO - [Restart 0] 140) Best value: -2.16e+00 | TR length: 1.60e+00 | num. restarts: 0/13 | num. successes: 0/10
2024-01-12 20:34:34,776 - INFO - [Restart 0] 144) Best value: -2.16e+00 | TR length: 1.60e+00 | num. restarts: 1/13 | num. successes: 0/10
2024-01-12 20:34:36,238 - INFO - [Restart 0] 148) Best value: -2.16e+00 | TR length: 1.60e+00 | num. restarts: 2/13 | num. successes: 0/10
2024-01-12 20:34:37,925 - INFO - [Restart 0] 152) Best value: -2.16e+00 | TR length: 1.60e+00 | num. restarts: 3/13 | num. successes: 0/10
2024-01-12 20:34:39,523 - INFO - [Restart 0] 156) Best value: -2.16e+00 | TR length: 1.60e+00 | num. restarts: 4/13 | num. successes: 0/10
2024-01-12 20:34:40,706 - INFO - [Restart 0] 160) Best value: -2.12e+00 | TR length: 1.60e+00 | num. restarts: 0/13 | num. successes: 1/10
2024-01-12 20:34:41,834 - INFO - [Restart 0] 164) Best value: -2.12e+00 | TR length: 1.60e+00 | num. restarts: 1/13 | num. successes: 0/10
2024-01-12 20:34:43,034 - INFO - [Restart 0] 168) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 0/13 | num. successes: 1/10
2024-01-12 20:34:44,431 - INFO - [Restart 0] 172) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 1/13 | num. successes: 0/10
2024-01-12 20:34:45,463 - INFO - [Restart 0] 176) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 2/13 | num. successes: 0/10
2024-01-12 20:34:46,399 - INFO - [Restart 0] 180) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 3/13 | num. successes: 0/10
2024-01-12 20:34:47,937 - INFO - [Restart 0] 184) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 4/13 | num. successes: 0/10
2024-01-12 20:34:49,305 - INFO - [Restart 0] 188) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 5/13 | num. successes: 0/10
2024-01-12 20:34:51,342 - INFO - [Restart 0] 192) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 6/13 | num. successes: 0/10
2024-01-12 20:34:52,499 - INFO - [Restart 0] 196) Best value: -2.03e+00 | TR length: 1.60e+00 | num. restarts: 7/13 | num. successes: 0/10
2024-01-12 20:34:54,082 - INFO - [Restart 0] 200) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 0/13 | num. successes: 1/10
2024-01-12 20:34:55,569 - INFO - [Restart 0] 204) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 1/13 | num. successes: 0/10
2024-01-12 20:34:57,224 - INFO - [Restart 0] 208) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 2/13 | num. successes: 0/10
2024-01-12 20:34:58,268 - INFO - [Restart 0] 212) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 3/13 | num. successes: 0/10
2024-01-12 20:35:00,111 - INFO - [Restart 0] 216) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 4/13 | num. successes: 0/10
2024-01-12 20:35:01,434 - INFO - [Restart 0] 220) Best value: -2.00e+00 | TR length: 1.60e+00 | num. restarts: 5/13 | num. successes: 0/10
