2024-01-12 21:57:11,048 - INFO - [Restart 0] 208) Best value: -3.59e+00 | TR length: 2.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:11,592 - INFO - [Restart 0] 212) Best value: -3.59e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:12,138 - INFO - [Restart 0] 216) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:12,650 - INFO - [Restart 0] 220) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:13,180 - INFO - [Restart 0] 224) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:13,722 - INFO - [Restart 0] 228) Best value: -3.28e+00 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:14,290 - INFO - [Restart 0] 232) Best value: -3.12e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:14,829 - INFO - [Restart 0] 236) Best value: -2.95e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:15,365 - INFO - [Restart 0] 240) Best value: -2.95e+00 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:15,954 - INFO - [Restart 0] 244) Best value: -2.95e+00 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:16,550 - INFO - [Restart 0] 248) Best value: -2.95e+00 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:17,163 - INFO - [Restart 0] 252) Best value: -2.91e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:17,685 - INFO - [Restart 0] 256) Best value: -2.76e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:18,163 - INFO - [Restart 0] 260) Best value: -2.76e+00 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:18,791 - INFO - [Restart 0] 264) Best value: -2.53e+00 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:19,405 - INFO - [Restart 0] 268) Best value: -2.53e+00 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:19,971 - INFO - [Restart 0] 272) Best value: -2.53e+00 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:20,524 - INFO - [Restart 0] 276) Best value: -2.53e+00 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:21,223 - INFO - [Restart 0] 280) Best value: -2.53e+00 | TR length: 1.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:21,854 - INFO - [Restart 0] 284) Best value: -2.53e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:22,446 - INFO - [Restart 0] 288) Best value: -2.35e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:22,980 - INFO - [Restart 0] 292) Best value: -2.21e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:23,642 - INFO - [Restart 0] 296) Best value: -2.02e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:57:24,301 - INFO - [Restart 0] 300) Best value: -2.02e+00 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:24,883 - INFO - [Restart 0] 304) Best value: -2.02e+00 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:25,513 - INFO - [Restart 0] 308) Best value: -2.02e+00 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:26,133 - INFO - [Restart 0] 312) Best value: -1.91e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:26,696 - INFO - [Restart 0] 316) Best value: -1.91e+00 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:27,293 - INFO - [Restart 0] 320) Best value: -1.91e+00 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:27,853 - INFO - [Restart 0] 324) Best value: -1.82e+00 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:28,452 - INFO - [Restart 0] 328) Best value: -1.82e+00 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:29,068 - INFO - [Restart 0] 332) Best value: -1.82e+00 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:29,704 - INFO - [Restart 0] 336) Best value: -1.82e+00 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:30,264 - INFO - [Restart 0] 340) Best value: -1.82e+00 | TR length: 5.00e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:30,940 - INFO - [Restart 0] 344) Best value: -1.82e+00 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:31,598 - INFO - [Restart 0] 348) Best value: -1.66e+00 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:32,279 - INFO - [Restart 0] 352) Best value: -1.66e+00 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:32,967 - INFO - [Restart 0] 356) Best value: -1.66e+00 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:33,675 - INFO - [Restart 0] 360) Best value: -1.66e+00 | TR length: 2.50e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:34,363 - INFO - [Restart 0] 364) Best value: -1.66e+00 | TR length: 2.50e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:35,121 - INFO - [Restart 0] 368) Best value: -1.60e+00 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:35,810 - INFO - [Restart 0] 372) Best value: -1.54e+00 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:36,577 - INFO - [Restart 0] 376) Best value: -1.54e+00 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:57:37,385 - INFO - [Restart 0] 380) Best value: -1.54e+00 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:57:38,124 - INFO - [Restart 0] 384) Best value: -1.54e+00 | TR length: 2.50e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:57:38,896 - INFO - [Restart 0] 388) Best value: -1.54e+00 | TR length: 2.50e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:57:39,715 - INFO - [Restart 0] 392) Best value: -1.54e+00 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:57:40,535 - INFO - [Restart 0] 396) Best value: -1.52e+00 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:57:41,406 - INFO - [Restart 0] 400) Best value: -1.50e+00 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:57:42,227 - INFO - [Restart 0] 404) Best value: -1.35e+00 | TR length: 1.25e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:57:43,173 - INFO - [Restart 0] 408) Best value: -1.35e+00 | TR length: 1.25e-02 | num. restarts: 1/5 | num. successes: 0/10
