2024-01-12 18:08:45,516 - INFO - [168 in node 1] Best value: -8.416 | TR length: 0.400 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:08:46,122 - INFO - [172 in node 1] Best value: -8.416 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:46,739 - INFO - [176 in node 1] Best value: -7.732 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:47,223 - INFO - [180 in node 1] Best value: -6.254 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:08:47,754 - INFO - [184 in node 1] Best value: -6.254 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:48,256 - INFO - [188 in node 1] Best value: -5.730 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:48,725 - INFO - [192 in node 1] Best value: -5.730 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:49,150 - INFO - [196 in node 1] Best value: -5.730 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:49,689 - INFO - [200 in node 1] Best value: -5.730 | TR length: 0.400 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:08:50,290 - INFO - [204 in node 1] Best value: -5.594 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:50,846 - INFO - [208 in node 1] Best value: -5.594 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:51,365 - INFO - [212 in node 1] Best value: -5.594 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:51,940 - INFO - [216 in node 1] Best value: -5.594 | TR length: 0.400 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:08:52,473 - INFO - [220 in node 1] Best value: -5.594 | TR length: 0.400 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:08:52,990 - INFO - [224 in node 1] Best value: -5.594 | TR length: 0.200 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:08:53,570 - INFO - [228 in node 1] Best value: -4.925 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:54,071 - INFO - [232 in node 1] Best value: -4.335 | TR length: 0.200 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:08:54,546 - INFO - [236 in node 1] Best value: -4.335 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:55,067 - INFO - [240 in node 1] Best value: -4.335 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:55,538 - INFO - [244 in node 1] Best value: -4.270 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:56,069 - INFO - [248 in node 1] Best value: -4.270 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:56,587 - INFO - [252 in node 1] Best value: -4.270 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:57,037 - INFO - [256 in node 1] Best value: -4.232 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:57,551 - INFO - [260 in node 1] Best value: -4.232 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:58,074 - INFO - [264 in node 1] Best value: -4.232 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:08:58,623 - INFO - [268 in node 1] Best value: -3.951 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:08:59,327 - INFO - [272 in node 1] Best value: -3.951 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:08:59,934 - INFO - [276 in node 1] Best value: -3.951 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:00,545 - INFO - [280 in node 1] Best value: -3.951 | TR length: 0.200 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:01,137 - INFO - [284 in node 1] Best value: -3.951 | TR length: 0.200 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:01,750 - INFO - [288 in node 1] Best value: -3.951 | TR length: 0.100 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:02,283 - INFO - [292 in node 1] Best value: -3.519 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:02,865 - INFO - [296 in node 1] Best value: -3.337 | TR length: 0.100 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:03,482 - INFO - [300 in node 1] Best value: -3.331 | TR length: 0.100 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 18:09:04,068 - INFO - [304 in node 1] Best value: -3.089 | TR length: 0.100 | num. failures: 0/5 | num. successes: 4/10
2024-01-12 18:09:04,660 - INFO - [308 in node 1] Best value: -2.952 | TR length: 0.100 | num. failures: 0/5 | num. successes: 5/10
2024-01-12 18:09:05,293 - INFO - [312 in node 1] Best value: -2.587 | TR length: 0.100 | num. failures: 0/5 | num. successes: 6/10
2024-01-12 18:09:06,107 - INFO - [316 in node 1] Best value: -2.587 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:07,006 - INFO - [320 in node 1] Best value: -2.587 | TR length: 0.100 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:07,574 - INFO - [324 in node 1] Best value: -2.587 | TR length: 0.100 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:08,292 - INFO - [328 in node 1] Best value: -2.587 | TR length: 0.100 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:08,930 - INFO - [332 in node 1] Best value: -2.587 | TR length: 0.050 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:09,585 - INFO - [336 in node 1] Best value: -2.587 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:10,299 - INFO - [340 in node 1] Best value: -2.587 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:11,006 - INFO - [344 in node 1] Best value: -2.456 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:11,811 - INFO - [348 in node 1] Best value: -2.456 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:12,583 - INFO - [352 in node 1] Best value: -2.402 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:13,363 - INFO - [356 in node 1] Best value: -2.402 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:14,101 - INFO - [360 in node 1] Best value: -2.244 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:14,874 - INFO - [364 in node 1] Best value: -2.244 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:15,515 - INFO - [368 in node 1] Best value: -2.244 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:16,279 - INFO - [372 in node 1] Best value: -2.244 | TR length: 0.050 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:17,094 - INFO - [376 in node 1] Best value: -2.244 | TR length: 0.050 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:17,954 - INFO - [380 in node 1] Best value: -2.160 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:18,871 - INFO - [384 in node 1] Best value: -1.889 | TR length: 0.050 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:19,615 - INFO - [388 in node 1] Best value: -1.793 | TR length: 0.050 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 18:09:20,603 - INFO - [392 in node 1] Best value: -1.793 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:21,617 - INFO - [396 in node 1] Best value: -1.793 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:22,540 - INFO - [400 in node 1] Best value: -1.738 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:23,435 - INFO - [404 in node 1] Best value: -1.738 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:24,328 - INFO - [408 in node 1] Best value: -1.738 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:25,244 - INFO - [412 in node 1] Best value: -1.586 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:26,114 - INFO - [416 in node 1] Best value: -1.586 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:26,943 - INFO - [420 in node 1] Best value: -1.586 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:27,815 - INFO - [424 in node 1] Best value: -1.586 | TR length: 0.050 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:28,661 - INFO - [428 in node 1] Best value: -1.586 | TR length: 0.050 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:29,497 - INFO - [432 in node 1] Best value: -1.586 | TR length: 0.025 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:30,363 - INFO - [436 in node 1] Best value: -1.337 | TR length: 0.025 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:31,475 - INFO - [440 in node 1] Best value: -1.336 | TR length: 0.025 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:32,430 - INFO - [444 in node 1] Best value: -1.030 | TR length: 0.025 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 18:09:33,378 - INFO - [448 in node 1] Best value: -1.030 | TR length: 0.025 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:34,298 - INFO - [452 in node 1] Best value: -1.030 | TR length: 0.025 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:35,335 - INFO - [456 in node 1] Best value: -1.030 | TR length: 0.025 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:36,347 - INFO - [460 in node 1] Best value: -1.030 | TR length: 0.025 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:37,098 - INFO - [464 in node 1] Best value: -1.030 | TR length: 0.013 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:38,068 - INFO - [468 in node 1] Best value: -0.903 | TR length: 0.013 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:39,196 - INFO - [472 in node 1] Best value: -0.903 | TR length: 0.013 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:39,959 - INFO - [476 in node 1] Best value: -0.903 | TR length: 0.013 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:41,051 - INFO - [480 in node 1] Best value: -0.903 | TR length: 0.013 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:42,163 - INFO - [484 in node 1] Best value: -0.903 | TR length: 0.013 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:43,427 - INFO - [488 in node 1] Best value: -0.903 | TR length: 0.006 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:43,427 - INFO - [TuRBO] Local Modelling converges (TR length below threshold) after 488 evaluations
2024-01-12 18:09:44,797 - INFO - [44 in node 27] Best value: -9.823 | TR length: 0.800 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:45,127 - INFO - [48 in node 27] Best value: -9.332 | TR length: 0.800 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:45,528 - INFO - [52 in node 27] Best value: -9.332 | TR length: 0.800 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:46,015 - INFO - [56 in node 27] Best value: -9.332 | TR length: 0.800 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:46,616 - INFO - [60 in node 27] Best value: -9.332 | TR length: 0.800 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:47,489 - INFO - [64 in node 27] Best value: -9.332 | TR length: 0.800 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:48,279 - INFO - [68 in node 27] Best value: -9.332 | TR length: 0.400 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:49,150 - INFO - [72 in node 27] Best value: -8.374 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:50,008 - INFO - [76 in node 27] Best value: -7.438 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:50,888 - INFO - [80 in node 27] Best value: -6.251 | TR length: 0.400 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 18:09:51,606 - INFO - [84 in node 27] Best value: -6.251 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:52,364 - INFO - [88 in node 27] Best value: -6.251 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:53,055 - INFO - [92 in node 27] Best value: -6.251 | TR length: 0.400 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:53,480 - INFO - [96 in node 27] Best value: -6.251 | TR length: 0.400 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:53,859 - INFO - [100 in node 27] Best value: -6.133 | TR length: 0.400 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:54,390 - INFO - [104 in node 27] Best value: -5.798 | TR length: 0.400 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:09:54,909 - INFO - [108 in node 27] Best value: -5.798 | TR length: 0.400 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:55,453 - INFO - [112 in node 27] Best value: -5.798 | TR length: 0.400 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:55,967 - INFO - [116 in node 27] Best value: -5.798 | TR length: 0.400 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:56,543 - INFO - [120 in node 27] Best value: -5.798 | TR length: 0.400 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:09:57,026 - INFO - [124 in node 27] Best value: -5.798 | TR length: 0.200 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:09:57,478 - INFO - [128 in node 27] Best value: -3.915 | TR length: 0.200 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:09:57,966 - INFO - [132 in node 27] Best value: -3.915 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:09:58,556 - INFO - [136 in node 27] Best value: -3.915 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:09:59,181 - INFO - [140 in node 27] Best value: -3.915 | TR length: 0.200 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 18:09:59,870 - INFO - [144 in node 27] Best value: -3.915 | TR length: 0.200 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 18:10:00,597 - INFO - [148 in node 27] Best value: -3.915 | TR length: 0.100 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 18:10:01,354 - INFO - [152 in node 27] Best value: -3.317 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 18:10:02,088 - INFO - [156 in node 27] Best value: -3.189 | TR length: 0.100 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 18:10:03,045 - INFO - [160 in node 27] Best value: -2.918 | TR length: 0.100 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 18:10:04,816 - INFO - [164 in node 27] Best value: -2.918 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 18:10:05,835 - INFO - [168 in node 27] Best value: -2.918 | TR length: 0.100 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 18:10:06,769 - INFO - [172 in node 27] Best value: -2.918 | TR length: 0.100 | num. failures: 3/5 | num. successes: 0/10
