2024-01-15 23:46:49,367 - INFO - Sample 252 | Best value: -7.07 |
2024-01-15 23:46:49,584 - INFO - Sample 256 | Best value: -7.07 |
2024-01-15 23:46:49,824 - INFO - Sample 260 | Best value: -7.07 |
2024-01-15 23:46:50,069 - INFO - Sample 264 | Best value: -7.07 |
2024-01-15 23:46:50,302 - INFO - Sample 268 | Best value: -7.07 |
2024-01-15 23:46:50,545 - INFO - Sample 272 | Best value: -7.07 |
2024-01-15 23:46:50,783 - INFO - Sample 276 | Best value: -7.07 |
2024-01-15 23:46:51,010 - INFO - Sample 280 | Best value: -7.07 |
2024-01-15 23:46:51,217 - INFO - Sample 284 | Best value: -7.07 |
2024-01-15 23:46:51,433 - INFO - Sample 288 | Best value: -7.07 |
2024-01-15 23:46:51,669 - INFO - Sample 292 | Best value: -7.07 |
2024-01-15 23:46:51,897 - INFO - Sample 296 | Best value: -7.07 |
2024-01-15 23:46:52,133 - INFO - Sample 300 | Best value: -7.07 |
2024-01-15 23:46:52,361 - INFO - Sample 304 | Best value: -7.07 |
2024-01-15 23:46:52,589 - INFO - Sample 308 | Best value: -7.07 |
2024-01-15 23:46:52,816 - INFO - Sample 312 | Best value: -7.07 |
2024-01-15 23:46:53,045 - INFO - Sample 316 | Best value: -7.07 |
2024-01-15 23:46:53,285 - INFO - Sample 320 | Best value: -7.07 |
2024-01-15 23:46:53,523 - INFO - Sample 324 | Best value: -7.07 |
2024-01-15 23:46:53,790 - INFO - Sample 328 | Best value: -7.07 |
2024-01-15 23:46:54,023 - INFO - Sample 332 | Best value: -7.07 |
2024-01-15 23:46:54,295 - INFO - Sample 336 | Best value: -7.07 |
2024-01-15 23:46:54,544 - INFO - Sample 340 | Best value: -7.07 |
2024-01-15 23:46:54,798 - INFO - Sample 344 | Best value: -7.07 |
2024-01-15 23:46:55,045 - INFO - Sample 348 | Best value: -7.07 |
2024-01-15 23:46:55,363 - INFO - Sample 352 | Best value: -7.07 |
2024-01-15 23:46:55,640 - INFO - Sample 356 | Best value: -7.07 |
2024-01-15 23:46:55,902 - INFO - Sample 360 | Best value: -7.07 |
2024-01-15 23:46:56,166 - INFO - Sample 364 | Best value: -7.07 |
2024-01-15 23:46:56,402 - INFO - Sample 368 | Best value: -7.07 |
2024-01-15 23:46:56,644 - INFO - Sample 372 | Best value: -7.07 |
2024-01-15 23:46:56,888 - INFO - Sample 376 | Best value: -7.07 |
2024-01-15 23:46:57,106 - INFO - Sample 380 | Best value: -7.07 |
2024-01-15 23:46:57,363 - INFO - Sample 384 | Best value: -7.07 |
2024-01-15 23:46:57,612 - INFO - Sample 388 | Best value: -7.07 |
2024-01-15 23:46:57,852 - INFO - Sample 392 | Best value: -7.07 |
2024-01-15 23:46:58,102 - INFO - Sample 396 | Best value: -7.07 |
2024-01-15 23:46:58,340 - INFO - Sample 400 | Best value: -7.07 |
2024-01-15 23:46:58,571 - INFO - Sample 404 | Best value: -7.07 |
2024-01-15 23:46:58,801 - INFO - Sample 408 | Best value: -7.07 |
2024-01-15 23:46:59,057 - INFO - Sample 412 | Best value: -7.07 |
2024-01-15 23:46:59,291 - INFO - Sample 416 | Best value: -7.07 |
2024-01-15 23:46:59,540 - INFO - Sample 420 | Best value: -7.07 |
2024-01-15 23:46:59,795 - INFO - Sample 424 | Best value: -7.07 |
2024-01-15 23:47:00,032 - INFO - Sample 428 | Best value: -7.07 |
2024-01-15 23:47:00,294 - INFO - Sample 432 | Best value: -7.07 |
2024-01-15 23:47:00,552 - INFO - Sample 436 | Best value: -7.07 |
2024-01-15 23:47:00,829 - INFO - Sample 440 | Best value: -7.07 |
2024-01-15 23:47:01,075 - INFO - Sample 444 | Best value: -7.07 |
2024-01-15 23:47:01,320 - INFO - Sample 448 | Best value: -7.07 |
2024-01-15 23:47:01,594 - INFO - Sample 452 | Best value: -7.07 |
2024-01-15 23:47:01,855 - INFO - Sample 456 | Best value: -7.07 |
2024-01-15 23:47:02,125 - INFO - Sample 460 | Best value: -7.07 |
2024-01-15 23:47:02,379 - INFO - Sample 464 | Best value: -7.07 |
2024-01-15 23:47:02,628 - INFO - Sample 468 | Best value: -7.07 |
2024-01-15 23:47:02,871 - INFO - Sample 472 | Best value: -7.07 |
2024-01-15 23:47:03,121 - INFO - Sample 476 | Best value: -7.07 |
2024-01-15 23:47:03,374 - INFO - Sample 480 | Best value: -7.07 |
2024-01-15 23:47:03,621 - INFO - Sample 484 | Best value: -7.07 |
2024-01-15 23:47:03,880 - INFO - Sample 488 | Best value: -7.07 |
2024-01-15 23:47:04,139 - INFO - Sample 492 | Best value: -7.07 |
2024-01-15 23:47:04,393 - INFO - Sample 496 | Best value: -7.07 |
2024-01-15 23:47:04,654 - INFO - Sample 500 | Best value: -7.07 |
2024-01-15 23:47:04,915 - INFO - Sample 504 | Best value: -7.07 |
2024-01-15 23:47:05,175 - INFO - Sample 508 | Best value: -7.07 |
2024-01-15 23:47:05,433 - INFO - Sample 512 | Best value: -7.07 |
2024-01-15 23:47:05,692 - INFO - Sample 516 | Best value: -7.07 |
2024-01-15 23:47:05,956 - INFO - Sample 520 | Best value: -7.07 |
2024-01-15 23:47:06,217 - INFO - Sample 524 | Best value: -7.07 |
2024-01-15 23:47:06,472 - INFO - Sample 528 | Best value: -7.07 |
2024-01-15 23:47:06,732 - INFO - Sample 532 | Best value: -7.07 |
2024-01-15 23:47:06,995 - INFO - Sample 536 | Best value: -7.07 |
2024-01-15 23:47:07,243 - INFO - Sample 540 | Best value: -7.07 |
2024-01-15 23:47:07,500 - INFO - Sample 544 | Best value: -7.07 |
2024-01-15 23:47:07,767 - INFO - Sample 548 | Best value: -7.07 |
2024-01-15 23:47:08,022 - INFO - Sample 552 | Best value: -7.07 |
2024-01-15 23:47:08,263 - INFO - Sample 556 | Best value: -7.07 |
2024-01-15 23:47:08,509 - INFO - Sample 560 | Best value: -7.07 |
2024-01-15 23:47:08,773 - INFO - Sample 564 | Best value: -7.07 |
2024-01-15 23:47:09,032 - INFO - Sample 568 | Best value: -7.07 |
2024-01-15 23:47:09,308 - INFO - Sample 572 | Best value: -7.07 |
2024-01-15 23:47:09,573 - INFO - Sample 576 | Best value: -7.07 |
2024-01-15 23:47:09,844 - INFO - Sample 580 | Best value: -7.07 |
2024-01-15 23:47:10,104 - INFO - Sample 584 | Best value: -7.07 |
2024-01-15 23:47:10,372 - INFO - Sample 588 | Best value: -7.07 |
2024-01-15 23:47:10,664 - INFO - Sample 592 | Best value: -7.07 |
2024-01-15 23:47:10,929 - INFO - Sample 596 | Best value: -7.07 |
2024-01-15 23:47:11,202 - INFO - Sample 600 | Best value: -7.07 |
2024-01-15 23:47:11,454 - INFO - Sample 604 | Best value: -7.07 |
2024-01-15 23:47:11,710 - INFO - Sample 608 | Best value: -7.07 |
2024-01-15 23:47:11,971 - INFO - Sample 612 | Best value: -7.07 |
2024-01-15 23:47:12,237 - INFO - Sample 616 | Best value: -7.07 |
2024-01-15 23:47:12,503 - INFO - Sample 620 | Best value: -7.07 |
2024-01-15 23:47:12,768 - INFO - Sample 624 | Best value: -7.07 |
2024-01-15 23:47:13,028 - INFO - Sample 628 | Best value: -7.07 |
2024-01-15 23:47:13,281 - INFO - Sample 632 | Best value: -7.07 |
2024-01-15 23:47:13,535 - INFO - Sample 636 | Best value: -7.07 |
2024-01-15 23:47:13,811 - INFO - Sample 640 | Best value: -7.07 |
2024-01-15 23:47:14,068 - INFO - Sample 644 | Best value: -7.07 |
2024-01-15 23:47:14,352 - INFO - Sample 648 | Best value: -7.07 |
2024-01-15 23:47:14,619 - INFO - Sample 652 | Best value: -7.07 |
2024-01-15 23:47:14,905 - INFO - Sample 656 | Best value: -7.07 |
2024-01-15 23:47:15,164 - INFO - Sample 660 | Best value: -7.07 |
2024-01-15 23:47:15,440 - INFO - Sample 664 | Best value: -7.07 |
2024-01-15 23:47:15,722 - INFO - Sample 668 | Best value: -7.07 |
2024-01-15 23:47:16,005 - INFO - Sample 672 | Best value: -7.07 |
2024-01-15 23:47:16,268 - INFO - Sample 676 | Best value: -7.07 |
2024-01-15 23:47:16,547 - INFO - Sample 680 | Best value: -7.07 |
2024-01-15 23:47:16,829 - INFO - Sample 684 | Best value: -7.07 |
2024-01-15 23:47:17,101 - INFO - Sample 688 | Best value: -7.07 |
2024-01-15 23:47:17,370 - INFO - Sample 692 | Best value: -7.07 |
2024-01-15 23:47:17,672 - INFO - Sample 696 | Best value: -7.07 |
2024-01-15 23:47:17,951 - INFO - Sample 700 | Best value: -7.07 |
2024-01-15 23:47:18,261 - INFO - Sample 704 | Best value: -7.07 |
2024-01-15 23:47:18,540 - INFO - Sample 708 | Best value: -7.07 |
2024-01-15 23:47:18,833 - INFO - Sample 712 | Best value: -7.07 |
2024-01-15 23:47:19,128 - INFO - Sample 716 | Best value: -7.07 |
2024-01-15 23:47:19,428 - INFO - Sample 720 | Best value: -7.07 |
2024-01-15 23:47:19,726 - INFO - Sample 724 | Best value: -7.07 |
2024-01-15 23:47:20,024 - INFO - Sample 728 | Best value: -7.07 |
2024-01-15 23:47:20,296 - INFO - Sample 732 | Best value: -7.07 |
2024-01-15 23:47:20,602 - INFO - Sample 736 | Best value: -7.07 |
2024-01-15 23:47:20,878 - INFO - Sample 740 | Best value: -7.07 |
2024-01-15 23:47:21,182 - INFO - Sample 744 | Best value: -7.07 |
2024-01-15 23:47:21,482 - INFO - Sample 748 | Best value: -7.07 |
2024-01-15 23:47:21,794 - INFO - Sample 752 | Best value: -7.07 |
2024-01-15 23:47:22,097 - INFO - Sample 756 | Best value: -7.07 |
2024-01-15 23:47:22,406 - INFO - Sample 760 | Best value: -7.07 |
2024-01-15 23:47:22,711 - INFO - Sample 764 | Best value: -7.07 |
2024-01-15 23:47:23,015 - INFO - Sample 768 | Best value: -7.07 |
2024-01-15 23:47:23,299 - INFO - Sample 772 | Best value: -7.07 |
2024-01-15 23:47:23,566 - INFO - Sample 776 | Best value: -7.07 |
2024-01-15 23:47:23,860 - INFO - Sample 780 | Best value: -7.07 |
2024-01-15 23:47:24,175 - INFO - Sample 784 | Best value: -7.07 |
2024-01-15 23:47:24,465 - INFO - Sample 788 | Best value: -7.07 |
2024-01-15 23:47:24,775 - INFO - Sample 792 | Best value: -7.07 |
2024-01-15 23:47:25,050 - INFO - Sample 796 | Best value: -7.07 |
2024-01-15 23:47:25,354 - INFO - Sample 800 | Best value: -7.07 |
2024-01-15 23:47:25,669 - INFO - Sample 804 | Best value: -7.07 |
2024-01-15 23:47:25,992 - INFO - Sample 808 | Best value: -7.07 |
2024-01-15 23:47:26,299 - INFO - Sample 812 | Best value: -7.07 |
2024-01-15 23:47:26,630 - INFO - Sample 816 | Best value: -7.07 |
2024-01-15 23:47:26,927 - INFO - Sample 820 | Best value: -7.07 |
2024-01-15 23:47:27,248 - INFO - Sample 824 | Best value: -7.07 |
2024-01-15 23:47:27,584 - INFO - Sample 828 | Best value: -7.07 |
2024-01-15 23:47:27,929 - INFO - Sample 832 | Best value: -7.07 |
2024-01-15 23:47:28,261 - INFO - Sample 836 | Best value: -7.07 |
2024-01-15 23:47:28,569 - INFO - Sample 840 | Best value: -7.07 |
2024-01-15 23:47:28,860 - INFO - Sample 844 | Best value: -7.07 |
2024-01-15 23:47:29,192 - INFO - Sample 848 | Best value: -7.07 |
2024-01-15 23:47:29,507 - INFO - Sample 852 | Best value: -7.07 |
2024-01-15 23:47:29,849 - INFO - Sample 856 | Best value: -7.07 |
2024-01-15 23:47:30,183 - INFO - Sample 860 | Best value: -7.07 |
2024-01-15 23:47:30,527 - INFO - Sample 864 | Best value: -7.07 |
2024-01-15 23:47:30,849 - INFO - Sample 868 | Best value: -7.07 |
2024-01-15 23:47:31,173 - INFO - Sample 872 | Best value: -7.07 |
2024-01-15 23:47:31,524 - INFO - Sample 876 | Best value: -7.07 |
2024-01-15 23:47:31,861 - INFO - Sample 880 | Best value: -7.07 |
2024-01-15 23:47:32,189 - INFO - Sample 884 | Best value: -7.07 |
2024-01-15 23:47:32,531 - INFO - Sample 888 | Best value: -7.07 |
2024-01-15 23:47:32,873 - INFO - Sample 892 | Best value: -7.07 |
2024-01-15 23:47:33,216 - INFO - Sample 896 | Best value: -7.07 |
2024-01-15 23:47:33,560 - INFO - Sample 900 | Best value: -7.07 |
2024-01-15 23:47:33,900 - INFO - Sample 904 | Best value: -7.07 |
2024-01-15 23:47:34,255 - INFO - Sample 908 | Best value: -7.07 |
2024-01-15 23:47:34,609 - INFO - Sample 912 | Best value: -7.07 |
2024-01-15 23:47:34,957 - INFO - Sample 916 | Best value: -7.07 |
2024-01-15 23:47:35,331 - INFO - Sample 920 | Best value: -7.07 |
2024-01-15 23:47:35,695 - INFO - Sample 924 | Best value: -7.07 |
2024-01-15 23:47:36,042 - INFO - Sample 928 | Best value: -7.07 |
2024-01-15 23:47:36,341 - INFO - Sample 932 | Best value: -7.07 |
2024-01-15 23:47:36,668 - INFO - Sample 936 | Best value: -7.07 |
2024-01-15 23:47:37,016 - INFO - Sample 940 | Best value: -7.07 |
2024-01-15 23:47:37,364 - INFO - Sample 944 | Best value: -7.07 |
2024-01-15 23:47:37,710 - INFO - Sample 948 | Best value: -7.07 |
2024-01-15 23:47:38,065 - INFO - Sample 952 | Best value: -7.07 |
2024-01-15 23:47:38,416 - INFO - Sample 956 | Best value: -7.07 |
2024-01-15 23:47:38,758 - INFO - Sample 960 | Best value: -7.07 |
2024-01-15 23:47:39,105 - INFO - Sample 964 | Best value: -7.07 |
2024-01-15 23:47:39,476 - INFO - Sample 968 | Best value: -7.07 |
2024-01-15 23:47:39,850 - INFO - Sample 972 | Best value: -7.07 |
2024-01-15 23:47:40,205 - INFO - Sample 976 | Best value: -7.07 |
2024-01-15 23:47:40,555 - INFO - Sample 980 | Best value: -7.07 |
2024-01-15 23:47:40,927 - INFO - Sample 984 | Best value: -7.07 |
2024-01-15 23:47:41,316 - INFO - Sample 988 | Best value: -7.07 |
2024-01-15 23:47:41,699 - INFO - Sample 992 | Best value: -7.07 |
2024-01-15 23:47:42,050 - INFO - Sample 996 | Best value: -7.07 |
2024-01-15 23:47:42,418 - INFO - Sample 1000 | Best value: -7.07 |
