2024-01-12 21:40:16,190 - INFO - [Restart 0] 208) Best value: -1.48e-02 | TR length: 2.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:16,639 - INFO - [Restart 0] 212) Best value: -1.48e-02 | TR length: 2.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:17,130 - INFO - [Restart 0] 216) Best value: -1.48e-02 | TR length: 2.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:17,643 - INFO - [Restart 0] 220) Best value: -1.48e-02 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:18,134 - INFO - [Restart 0] 224) Best value: -8.95e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:18,620 - INFO - [Restart 0] 228) Best value: -6.86e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:19,106 - INFO - [Restart 0] 232) Best value: -6.28e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:19,575 - INFO - [Restart 0] 236) Best value: -6.10e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:40:20,038 - INFO - [Restart 0] 240) Best value: -5.14e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 5/10
2024-01-12 21:40:20,477 - INFO - [Restart 0] 244) Best value: -4.99e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 6/10
2024-01-12 21:40:20,945 - INFO - [Restart 0] 248) Best value: -4.99e-03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:21,426 - INFO - [Restart 0] 252) Best value: -4.99e-03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:21,890 - INFO - [Restart 0] 256) Best value: -4.49e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:22,311 - INFO - [Restart 0] 260) Best value: -4.49e-03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:22,798 - INFO - [Restart 0] 264) Best value: -4.49e-03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
