2024-01-12 22:01:23,711 - INFO - [Restart 0] 208) Best value: -3.83e+03 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:24,186 - INFO - [Restart 0] 212) Best value: -3.83e+03 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:24,646 - INFO - [Restart 0] 216) Best value: -3.83e+03 | TR length: 2.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:25,148 - INFO - [Restart 0] 220) Best value: -3.83e+03 | TR length: 2.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:25,580 - INFO - [Restart 0] 224) Best value: -3.83e+03 | TR length: 2.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 22:01:25,994 - INFO - [Restart 0] 228) Best value: -3.83e+03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 22:01:26,473 - INFO - [Restart 0] 232) Best value: -3.83e+03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:26,917 - INFO - [Restart 0] 236) Best value: -2.13e+03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:27,383 - INFO - [Restart 0] 240) Best value: -2.13e+03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:27,845 - INFO - [Restart 0] 244) Best value: -2.13e+03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:28,313 - INFO - [Restart 0] 248) Best value: -2.13e+03 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:28,783 - INFO - [Restart 0] 252) Best value: -2.13e+03 | TR length: 1.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 22:01:29,293 - INFO - [Restart 0] 256) Best value: -2.13e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 22:01:29,774 - INFO - [Restart 0] 260) Best value: -1.73e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:30,298 - INFO - [Restart 0] 264) Best value: -1.73e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:30,799 - INFO - [Restart 0] 268) Best value: -1.73e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:31,310 - INFO - [Restart 0] 272) Best value: -1.46e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:31,800 - INFO - [Restart 0] 276) Best value: -1.46e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:32,321 - INFO - [Restart 0] 280) Best value: -1.46e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:32,819 - INFO - [Restart 0] 284) Best value: -1.32e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:33,315 - INFO - [Restart 0] 288) Best value: -1.32e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:33,822 - INFO - [Restart 0] 292) Best value: -1.32e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:34,320 - INFO - [Restart 0] 296) Best value: -1.32e+03 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:34,867 - INFO - [Restart 0] 300) Best value: -1.31e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:35,462 - INFO - [Restart 0] 304) Best value: -1.31e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:36,021 - INFO - [Restart 0] 308) Best value: -1.28e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:36,701 - INFO - [Restart 0] 312) Best value: -1.28e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:37,362 - INFO - [Restart 0] 316) Best value: -1.28e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:38,020 - INFO - [Restart 0] 320) Best value: -1.28e+03 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:38,625 - INFO - [Restart 0] 324) Best value: -1.13e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:39,328 - INFO - [Restart 0] 328) Best value: -1.13e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:40,043 - INFO - [Restart 0] 332) Best value: -1.13e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:40,735 - INFO - [Restart 0] 336) Best value: -1.03e+03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 22:01:41,605 - INFO - [Restart 0] 340) Best value: -1.03e+03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 22:01:42,310 - INFO - [Restart 0] 344) Best value: -1.03e+03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 22:01:43,017 - INFO - [Restart 0] 348) Best value: -1.03e+03 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 22:01:43,848 - INFO - [Restart 0] 352) Best value: -1.03e+03 | TR length: 5.00e-02 | num. restarts: 4/5 | num. successes: 0/10
