2024-01-12 22:16:49,671 - INFO - [224 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:50,441 - INFO - [228 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:51,460 - INFO - [232 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:52,293 - INFO - [236 in node 3] Best value: -6930.242 | TR length: 0.200 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 22:16:52,971 - INFO - [240 in node 3] Best value: -6930.242 | TR length: 0.100 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 22:16:53,743 - INFO - [244 in node 3] Best value: -6930.242 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:54,338 - INFO - [248 in node 3] Best value: -5173.056 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:16:55,055 - INFO - [252 in node 3] Best value: -2807.684 | TR length: 0.100 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:16:55,898 - INFO - [256 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 0/5 | num. successes: 3/10
2024-01-12 22:16:56,593 - INFO - [260 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:16:57,377 - INFO - [264 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:16:58,165 - INFO - [268 in node 3] Best value: -2311.358 | TR length: 0.100 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:16:59,095 - INFO - [272 in node 3] Best value: -1762.608 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:00,036 - INFO - [276 in node 3] Best value: -1762.608 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:01,056 - INFO - [280 in node 3] Best value: -1000.756 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:01,852 - INFO - [284 in node 3] Best value: -1000.756 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:02,794 - INFO - [288 in node 3] Best value: -1000.756 | TR length: 0.100 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:17:03,746 - INFO - [292 in node 3] Best value: -967.348 | TR length: 0.100 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:04,572 - INFO - [296 in node 3] Best value: -967.348 | TR length: 0.100 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:05,500 - INFO - [300 in node 3] Best value: -967.348 | TR length: 0.100 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:17:06,398 - INFO - [304 in node 3] Best value: -967.348 | TR length: 0.100 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:17:07,362 - INFO - [308 in node 3] Best value: -967.348 | TR length: 0.100 | num. failures: 4/5 | num. successes: 0/10
2024-01-12 22:17:08,167 - INFO - [312 in node 3] Best value: -967.348 | TR length: 0.050 | num. failures: 0/5 | num. successes: 0/10
2024-01-12 22:17:08,904 - INFO - [316 in node 3] Best value: -967.348 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:09,649 - INFO - [320 in node 3] Best value: -967.348 | TR length: 0.050 | num. failures: 2/5 | num. successes: 0/10
2024-01-12 22:17:10,538 - INFO - [324 in node 3] Best value: -967.348 | TR length: 0.050 | num. failures: 3/5 | num. successes: 0/10
2024-01-12 22:17:11,416 - INFO - [328 in node 3] Best value: -963.537 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:12,173 - INFO - [332 in node 3] Best value: -963.537 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:13,023 - INFO - [336 in node 3] Best value: -885.797 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:13,832 - INFO - [340 in node 3] Best value: -785.195 | TR length: 0.050 | num. failures: 0/5 | num. successes: 2/10
2024-01-12 22:17:14,571 - INFO - [344 in node 3] Best value: -785.195 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
2024-01-12 22:17:15,439 - INFO - [348 in node 3] Best value: -592.821 | TR length: 0.050 | num. failures: 0/5 | num. successes: 1/10
2024-01-12 22:17:16,158 - INFO - [352 in node 3] Best value: -592.821 | TR length: 0.050 | num. failures: 1/5 | num. successes: 0/10
