Initialize logger for experiment: gp_ei_ackley20d_1000
Using Ackley 20D
Start experiment: gp_ei_ackley20d_1000
==================================================
Config:
obj_func: Ackley()
bounds: tensor([[-5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5., -5.,
         -5., -5., -5., -5., -5., -5.],
        [10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10., 10.,
         10., 10., 10., 10., 10., 10.]], device='cuda:0', dtype=torch.float64)
batch_size: 4
n_init: 40
seed: 0
acqf_func: ts
max_cholesky_size: inf
==================================================
Sample 692 | Best value: -7.07 |
Sample 696 | Best value: -7.07 |
Sample 700 | Best value: -7.07 |
Sample 704 | Best value: -7.07 |
Sample 708 | Best value: -7.07 |
Sample 712 | Best value: -7.07 |
Sample 716 | Best value: -7.07 |
Sample 720 | Best value: -7.07 |
Sample 724 | Best value: -7.07 |
Sample 728 | Best value: -7.07 |
Sample 732 | Best value: -7.07 |
Sample 736 | Best value: -7.07 |
Sample 740 | Best value: -7.07 |
Sample 744 | Best value: -7.07 |
Sample 748 | Best value: -7.07 |
Sample 752 | Best value: -7.07 |
Sample 756 | Best value: -7.07 |
Sample 760 | Best value: -7.07 |
Sample 764 | Best value: -7.07 |
Sample 768 | Best value: -7.07 |
Sample 772 | Best value: -7.07 |
Sample 776 | Best value: -7.07 |
Sample 780 | Best value: -7.07 |
Sample 784 | Best value: -7.07 |
Sample 788 | Best value: -7.07 |
Sample 792 | Best value: -7.07 |
Sample 796 | Best value: -7.07 |
Sample 800 | Best value: -7.07 |
Sample 804 | Best value: -7.07 |
Sample 808 | Best value: -7.07 |
Sample 812 | Best value: -7.07 |
Sample 816 | Best value: -7.07 |
Sample 820 | Best value: -7.07 |
Sample 824 | Best value: -7.07 |
Sample 828 | Best value: -7.07 |
Sample 832 | Best value: -7.07 |
Sample 836 | Best value: -7.07 |
Sample 840 | Best value: -7.07 |
Sample 844 | Best value: -7.07 |
Sample 848 | Best value: -7.07 |
Sample 852 | Best value: -7.07 |
Sample 856 | Best value: -7.07 |
Sample 860 | Best value: -7.07 |
Sample 864 | Best value: -7.07 |
Sample 868 | Best value: -7.07 |
Sample 872 | Best value: -7.07 |
Sample 876 | Best value: -7.07 |
Sample 880 | Best value: -7.07 |
Sample 884 | Best value: -7.07 |
Sample 888 | Best value: -7.07 |
Sample 892 | Best value: -7.07 |
Sample 896 | Best value: -7.07 |
Sample 900 | Best value: -7.07 |
Sample 904 | Best value: -7.07 |
Sample 908 | Best value: -7.07 |
Sample 912 | Best value: -7.07 |
Sample 916 | Best value: -7.07 |
Sample 920 | Best value: -7.07 |
Sample 924 | Best value: -7.07 |
Sample 928 | Best value: -7.07 |
Sample 932 | Best value: -7.07 |
Sample 936 | Best value: -7.07 |
Sample 940 | Best value: -7.07 |
Sample 944 | Best value: -7.07 |
Sample 948 | Best value: -7.07 |
Sample 952 | Best value: -7.07 |
Sample 956 | Best value: -7.07 |
Sample 960 | Best value: -7.07 |
Sample 964 | Best value: -7.07 |
Sample 968 | Best value: -7.07 |
Sample 972 | Best value: -7.07 |
Sample 976 | Best value: -7.07 |
Sample 980 | Best value: -7.07 |
Sample 984 | Best value: -7.07 |
Sample 988 | Best value: -7.07 |
Sample 992 | Best value: -7.07 |
Sample 996 | Best value: -7.07 |
Sample 1000 | Best value: -7.07 |
